name,company,sales_MM
Abilify,"Otsuka Pharmaceutical Co., Ltd",6293.801
Nexium,AstraZeneca,5974.55
Humira,AbbVie Inc.,5428.479
Crestor,AstraZeneca,5195.93
Cymbalta,,5083.111
Advair Diskus,GlaxoSmithKline,4981.108
Enbrel,Amgen Inc.,4585.701
Remicade,"Janssen Pharmaceuticals, Inc.",3980.556
Copaxone,"Teva Pharmaceuticals USA, Inc.",3603.958
Neulasta,Amgen Inc.,3472.969
Rituxan,"Genentech, Inc.",3208.525
Spiriva,,2943.778
Lantus Solostar,Sanofi,2926.949
Atripla,"Gilead Sciences, Inc.",2794.285
Januvia,Merck,2770.995
Avastin,"Genentech, Inc.",2617.373
Lantus,Sanofi,2505.281
OxyContin,Purdue Pharma LP,2462.851
Lyrica,Pfizer Inc.,2357.959
Epogen,Amgen Inc.,2206.624
Celebrex,Pfizer Inc.,2183.246
Truvada,"Gilead Sciences, Inc.",2174.331
Diovan,Novartis Pharmaceuticals Corporation,2124.245
Herceptin,"Genentech, Inc.",1879.409
Gleevec,Novartis Pharmaceuticals Corporation,1873.351
Namenda,Allergan plc,1815.552
Lucentis,"Genentech, Inc.",1793.591
Vyvanse,Takeda Pharmaceutical Company Limited,1689.091
Zetia,Merck,1665.859
Symbicort,AstraZeneca,1540.223
Levemir,Novo Nordisk,1512.226
Suboxone,,1403.762
enoxaparin,Generic Drug,1391.639
methylphenidate,Generic Drug,1383.814
AndroGel,AbbVie Inc.,1378.724
NovoLog FlexPen,Novo Nordisk,1343.84
Novolog,Novo Nordisk,1318.215
Rebif,"EMD Serono, Inc.",1238.242
Avonex,Biogen,1211.492
Seroquel XR,AstraZeneca,1183.989
Alimta,Eli Lilly and Company,1165.49
Viagra,Pfizer Inc.,1165.239
Humalog,Eli Lilly and Company,1146.582
ProAir HFA,"Teva Pharmaceuticals USA, Inc.",1121.402
OneTouch,,
Nasonex,Merck,1105.657
Victoza,Novo Nordisk,1080.654
Cialis,Eli Lilly and Company,1056.244
Lidoderm,Endo Pharmaceuticals Inc.,
Lovaza,GlaxoSmithKline,1040.994
Gilenya,Novartis Pharmaceuticals Corporation,1031.081
Flovent HFA,GlaxoSmithKline,1016.908
acetaminophen/hydrocodone,Generic Drug,1016.488
Procrit,"Janssen Pharmaceuticals, Inc.",1006.976
Restasis,Allergan plc,1006.761
amphetamine/dextroamphetamine,Generic Drug,998.439
budesonide,Generic Drug,997.165
Isentress,Merck,992.052
doxycycline,Generic Drug,973.013
Prezista,"Janssen Pharmaceuticals, Inc.",967.071
fenofibrate,Generic Drug,962.683
Janumet,Merck,958.569
Neupogen,Amgen Inc.,938.692
Stelara,"Janssen Pharmaceuticals, Inc.",936.612
Orencia,Bristol-Myers Squibb Company,933.16
Renvela,Sanofi,930.982
Reyataz,Bristol-Myers Squibb Company,914.423
VESIcare,"Astellas Pharma US, Inc.",911.711
metoprolol,Generic Drug,899.942
Dexilant,Takeda Pharmaceutical Company Limited,892.767
Humalog KwikPen,Eli Lilly and Company,854.769
Vytorin,Merck,839.715
Synthroid,AbbVie Inc.,837.607
Lunesta,Sunovion Pharmaceuticals Inc.,827.131
Pradaxa,"Boehringer Ingelheim Pharmaceuticals, Inc.",825.302
Benicar,Daiichi Sankyo,809.669
Xarelto,,
Evista,,801.608
Xolair,,797.966
Aranesp,Amgen Inc.,793.322
Niaspan,AbbVie Inc.,
Prevnar 13,Pfizer Inc.,778.286
Sensipar,Amgen Inc.,771.603
Xgeva,Amgen Inc.,760.839
Betaseron,Bayer HealthCare Pharmaceuticals Inc.,750.148
Xeloda,"Genentech, Inc.",737.262
Adderall XR,Takeda Pharmaceutical Company Limited,727.892
Tecfidera,Biogen,
Synagis,"MedImmune, Inc.",
Zytiga,"Janssen Pharmaceuticals, Inc.",
Invega Sustenna,"Janssen Pharmaceuticals, Inc.",
Tamiflu,,
Aciphex,Eisai Inc.,
modafinil,Generic Drug,
Avonex Pen,Biogen,
Ventolin HFA,GlaxoSmithKline,
fentanyl,Generic Drug,
Afinitor,Novartis Pharmaceuticals Corporation,
Incivek,Vertex Pharmaceuticals Incorporated,
Combivent Respimat,"Boehringer Ingelheim Pharmaceuticals, Inc.",
