name,company,units_1000s
budesonide,Generic Drug,43452
acetaminophen/hydrocodone,Generic Drug,37814
ProAir HFA,"Teva Pharmaceuticals USA, Inc.",28629
Cymbalta,,23939
Nexium,AstraZeneca,23518
Advair Diskus,GlaxoSmithKline,22122
Lantus,Sanofi,20605
Lantus Solostar,Sanofi,19927
OneTouch,,
Ventolin HFA,GlaxoSmithKline,
enoxaparin,Generic Drug,16855
omeprazole,Generic Drug,
Crestor,AstraZeneca,15433
Spiriva,,13687
Levemir,Novo Nordisk,13588
atorvastatin,Generic Drug,
fentanyl,Generic Drug,
NovoLog FlexPen,Novo Nordisk,12088
metoprolol,Generic Drug,11878
Novolog,Novo Nordisk,11106
Humalog,Eli Lilly and Company,10693
Synthroid,AbbVie Inc.,9759
Abilify,"Otsuka Pharmaceutical Co., Ltd",9712
Nasonex,Merck,9550
Januvia,Merck,9155
Symbicort,AstraZeneca,8424
Lyrica,Pfizer Inc.,8252
Zetia,Merck,7825
Namenda,Allergan plc,7546
Suboxone,,7219
Diovan,Novartis Pharmaceuticals Corporation,7187
Flovent HFA,GlaxoSmithKline,6906
AndroGel,AbbVie Inc.,6481
fenofibrate,Generic Drug,6466
Remicade,"Janssen Pharmaceuticals, Inc.",6415
ONE TOUCH ULTRA,,
Tamiflu,,
levothyroxine,Generic Drug,
Restasis,Allergan plc,5946
Lovaza,GlaxoSmithKline,5856
Dexilant,Takeda Pharmaceutical Company Limited,5854
Benicar,Daiichi Sankyo,5761
Lidoderm,Endo Pharmaceuticals Inc.,
Humalog KwikPen,Eli Lilly and Company,4569
OxyContin,Purdue Pharma LP,4399
VESIcare,"Astellas Pharma US, Inc.",4253
Celebrex,Pfizer Inc.,3925
Vytorin,Merck,3914
Enbrel,Amgen Inc.,3899
Janumet,Merck,3686
Pradaxa,"Boehringer Ingelheim Pharmaceuticals, Inc.",3607
Cialis,Eli Lilly and Company,3432
Evista,,3316
doxycycline,Generic Drug,3255
methylphenidate,Generic Drug,3111
Vyvanse,Takeda Pharmaceutical Company Limited,3055
Xarelto,,
amphetamine/dextroamphetamine,Generic Drug,2950
Fluzone,,
Humira,AbbVie Inc.,2652
Victoza,Novo Nordisk,2482
Epogen,Amgen Inc.,2455
Niaspan,AbbVie Inc.,
Rituxan,"Genentech, Inc.",2214
Truvada,"Gilead Sciences, Inc.",2173
Rebif,"EMD Serono, Inc.",1935
Avastin,"Genentech, Inc.",1845
Aciphex,Eisai Inc.,
Atripla,"Gilead Sciences, Inc.",1801
Combivent Respimat,"Boehringer Ingelheim Pharmaceuticals, Inc.",
Combivent,"Boehringer Ingelheim Pharmaceuticals, Inc.",
Viagra,Pfizer Inc.,1677
Seroquel XR,AstraZeneca,1561
lidocaine,Generic Drug,
Renvela,Sanofi,1403
Orencia,Bristol-Myers Squibb Company,1322
Neulasta,Amgen Inc.,1288
Sensipar,Amgen Inc.,1273
Lunesta,Sunovion Pharmaceuticals Inc.,1248
modafinil,Generic Drug,
Adderall XR,Takeda Pharmaceutical Company Limited,1182
Xolair,,1165
Benicar HCT,Daiichi Sankyo,
Procrit,"Janssen Pharmaceuticals, Inc.",1104
Isentress,Merck,1069
Lucentis,"Genentech, Inc.",1058
Prezista,"Janssen Pharmaceuticals, Inc.",1036
Reyataz,Bristol-Myers Squibb Company,991
Aranesp,Amgen Inc.,950
EpiPen 2-Pak,,
Copaxone,"Teva Pharmaceuticals USA, Inc.",872
hydrochlorothiazide/valsartan,Generic Drug,
Alimta,Eli Lilly and Company,772
Prevnar 13,Pfizer Inc.,667
Herceptin,"Genentech, Inc.",662
Neupogen,Amgen Inc.,630
divalproex sodium,Generic Drug,
Xgeva,Amgen Inc.,513
Invega Sustenna,"Janssen Pharmaceuticals, Inc.",
Synagis,"MedImmune, Inc.",
